Название игры,Жанры,Описание,Целевая аудитория,Прибыльность,Конкуренты
mafia ii,"Action, Shooter",Нет описания,Mature,Высокая,Нет данных
fallout,RPG,Нет описания,Все возрастные группы,Низкая,Нет данных
heavy rain,"Action, Adventure",Нет описания,Mature,Высокая,Нет данных
watch dogs,"Action, Adventure",Нет описания,Mature,Высокая,Нет данных
far cry 5,"Action, Shooter",Нет описания,Mature,Высокая,Нет данных
psychonauts,"Action, Platformer",Нет описания,Teen,Высокая,Нет данных
ark: survival evolved,"Action, Adventure, RPG, Massively Multiplayer, Indie",Нет описания,Все возрастные группы,Средняя,Нет данных
shadow of the tomb raider,"Action, Adventure",Нет описания,Mature,Высокая,Нет данных
undertale,"RPG, Indie",Нет описания,Everyone 10+,Высокая,Нет данных
inside,"Action, Adventure, Indie, Puzzle, Platformer",Нет описания,Teen,Высокая,Нет данных
unturned,"Action, Shooter",Нет описания,Teen,Низкая,Нет данных
warhammer: vermintide 2,"Action, Indie",Нет описания,Mature,Высокая,Нет данных
max payne 3,"Action, Shooter",Нет описания,Mature,Высокая,Нет данных
saints row iv,"Action, Adventure",Нет описания,Mature,Высокая,Нет данных
the darkness ii,Action,Нет описания,Mature,Высокая,Нет данных
tom clancy's rainbow six siege,"Action, Shooter",Нет описания,Teen,Средняя,Нет данных
alien: isolation,"Action, Adventure",Нет описания,Mature,Высокая,Нет данных
sekiro: shadows die twice,"Action, RPG",Нет описания,Mature,Высокая,Нет данных
assassin's creed odyssey,"Action, RPG",Нет описания,Mature,Высокая,Нет данных
firewatch,"Adventure, Indie",Нет описания,Mature,Высокая,Нет данных
metro exodus,"Action, Shooter",Нет описания,Mature,Высокая,Нет данных
darksiders,Action,Нет описания,Mature,Высокая,Нет данных
assassin's creed ii,Action,Нет описания,Mature,Высокая,Нет данных
hitman 2,"Action, Shooter",Нет описания,Mature,Высокая,Нет данных
no man's sky,"Action, Adventure, RPG, Simulation, Massively Multiplayer, Indie",Нет описания,Teen,Средняя,Нет данных
brawlhalla,"Action, Casual, Fighting, Indie",Нет описания,Everyone 10+,Низкая,Нет данных
transistor,"Action, RPG, Indie",Нет описания,Teen,Высокая,Нет данных
cuphead,"Action, Indie, Platformer",Нет описания,Все возрастные группы,Высокая,Нет данных
titan quest anniversary edition,"Action, RPG",Нет описания,Все возрастные группы,Низкая,Нет данных
batman: arkham origins,Action,Нет описания,Teen,Средняя,Нет данных
war thunder,"Action, Shooter, Massively Multiplayer",Нет описания,Teen,Высокая,Нет данных
assassin's creed origins,"Action, RPG",Нет описания,Mature,Высокая,Нет данных
crusader kings ii,"Strategy, Simulation",Нет описания,Все возрастные группы,Высокая,Нет данных
layers of fear,"Adventure, Indie",Нет описания,Mature,Средняя,Нет данных
grid 2,"Racing, Arcade",Нет описания,Everyone 10+,Высокая,Нет данных
battlefield 1,"Action, Shooter",Нет описания,Все возрастные группы,Высокая,Нет данных
doom eternal,"Action, Shooter",Нет описания,Mature,Высокая,Нет данных
the wolf among us,Adventure,Нет описания,Mature,Высокая,Нет данных
halo infinite,"Action, Shooter, Adventure",Нет описания,Teen,Высокая,Нет данных
the stanley parable,"Adventure, Indie",Нет описания,Все возрастные группы,Высокая,Нет данных
deus ex: human revolution - director's cut,"Action, RPG",Нет описания,Mature,Высокая,Нет данных
far cry 4,Shooter,Нет описания,Mature,Высокая,Нет данных
xcom 2,"RPG, Strategy",Нет описания,Teen,Высокая,Нет данных
resident evil 5,"Action, Shooter",Нет описания,Mature,Высокая,Нет данных
among us,"Action, Simulation, Casual",Нет описания,Everyone 10+,Высокая,Нет данных
disco elysium,"Adventure, RPG, Indie",Нет описания,Mature,Высокая,Нет данных
insurgency,"Action, Shooter, Indie",Нет описания,Все возрастные группы,Средняя,Нет данных
call of duty: modern warfare 2,Shooter,Нет описания,Mature,Высокая,Нет данных
counter-strike: condition zero,Action,Нет описания,Все возрастные группы,Средняя,Нет данных
ori and the blind forest: definitive edition,"Adventure, Platformer",Нет описания,Everyone,Высокая,Нет данных
saints row 2,"Action, Shooter",Нет описания,Mature,Высокая,Нет данных
trine 2: complete story,"Action, Indie, Puzzle, Platformer",Нет описания,Все возрастные группы,Высокая,Нет данных
viscera cleanup detail: shadow warrior,"Action, Simulation, Indie",Нет описания,Mature,Низкая,Нет данных
amnesia: a machine for pigs,"Action, Adventure, Indie",Нет описания,Все возрастные группы,Средняя,Нет данных
assassin’s creed iii,Action,Нет описания,Mature,Высокая,Нет данных
total war: shogun 2,Strategy,Нет описания,Все возрастные группы,Высокая,Нет данных
soma,"Action, Adventure, Indie",Нет описания,Mature,Высокая,Нет данных
elden ring,"Action, RPG",Нет описания,Mature,Высокая,Нет данных
watch dogs 2,"Action, Adventure",Нет описания,Mature,Высокая,Нет данных
